|    0 |    1 |    2 |    3 |    4 |    5 |
|  320 |  134 |  321 |  131 |  318 |  132 |
|  316 |  133 |  318 |  130 |  314 |  131 |
|  322 |  135 |  323 |  131 |  319 |  132 |
|  319 |  134 |  319 |  130 |  316 |  132 |
|  318 |  134 |  320 |  129 |  315 |  131 |
|  319 |  134 |  320 |  130 |  317 |  131 |
|  319 |  134 |  319 |  130 |  316 |  131 |
|  318 |  134 |  318 |  130 |  315 |  131 |
|  317 |  133 |  317 |  129 |  314 |  130 |
|  317 |  133 |  317 |  129 |  314 |  131 |
|  316 |  133 |  316 |  129 |  313 |  130 |
|  314 |  132 |  315 |  128 |  307 |  130 |
|  319 |  134 |  318 |  130 |  316 |  132 |
|  314 |  132 |  315 |  128 |  312 |  130 |
|  316 |  133 |  317 |  129 |  314 |  131 |
|  312 |  131 |  312 |  127 |  310 |  129 |
|  314 |  132 |  315 |  128 |  312 |  130 |
|  313 |  132 |  315 |  128 |  312 |  130 |
|  315 |  133 |  315 |  129 |  313 |  130 |
|  313 |  132 |  314 |  128 |  312 |  130 |
|  313 |  132 |  314 |  128 |  312 |  130 |
|  309 |  131 |  311 |  127 |  308 |  129 |
|  316 |  133 |  316 |  129 |  313 |  130 |
|  314 |  132 |  315 |  129 |  312 |  130 |
|  315 |  133 |  316 |  129 |  314 |  131 |
|  313 |  132 |  315 |  128 |  312 |  130 |
|  313 |  131 |  315 |  128 |  312 |  129 |
|  313 |  132 |  313 |  128 |  310 |  130 |
|  312 |  132 |  313 |  128 |  310 |  130 |
|  315 |  133 |  316 |  128 |  312 |  130 |
|  314 |  133 |  316 |  129 |  313 |  131 |
|  316 |  133 |  317 |  129 |  314 |  131 |
|  314 |  132 |  316 |  128 |  312 |  130 |
|  320 |  135 |  321 |  131 |  318 |  132 |
|  315 |  133 |  316 |  129 |  313 |  130 |
|  317 |  133 |  317 |  129 |  313 |  130 |
|  316 |  133 |  317 |  129 |  313 |  130 |
|  317 |  133 |  318 |  129 |  314 |  131 |
|  319 |  134 |  319 |  130 |  316 |  132 |
|  315 |  132 |  316 |  129 |  313 |  131 |
|  317 |  133 |  317 |  129 |  314 |  131 |
|  319 |  134 |  320 |  130 |  316 |  132 |
|  321 |  135 |  321 |  131 |  318 |  132 |
